energy_pos,l_z_pos,energy_neg,l_z_neg
-286258.9622617012,16.66740975938152,-286258.9622617012,-16.66740975938152
-269688.39016474003,31.259848156129365,-269688.39016474003,-31.259848156129365
-261459.99383650394,44.56061459534851,-261459.99383650394,-44.56061459534851
-255911.5202542537,57.74954608751929,-255911.5202542537,-57.74954608751929
-251553.0649914122,71.38021470544466,-251553.0649914122,-71.38021470544466
-247817.07964749294,85.75114526476708,-247817.07964749294,-85.75114526476708
-244438.39432020148,101.03457577911097,-244438.39432020148,-101.03457577911097
-241276.94257265847,117.3271073676075,-241276.94257265847,-117.3271073676075
-238253.11481204504,134.67373493165707,-238253.11481204504,-134.67373493165707
-235319.88670843595,153.08181119900075,-235319.88670843595,-153.08181119900075
-232449.21116809445,172.53063973949588,-232449.21116809445,-172.53063973949588
-229624.7002498357,192.97876727215066,-229624.7002498357,-192.97876727215066
-226837.37590225157,214.36978756839852,-226837.37590225157,-214.36978756839852
-224083.04776303418,236.63702682655205,-224083.04776303418,-236.63702682655205
-221360.6167559701,259.7073221040926,-221360.6167559701,-259.7073221040926
-218670.93867164844,283.50404320127467,-218670.93867164844,-283.50404320127467
-216016.0448547891,307.9494792791054,-216016.0448547891,-307.9494792791054
-213398.60105502504,332.966692927679,-213398.60105502504,-332.966692927679
-210821.53100816382,358.48092980156235,-210821.53100816382,-358.48092980156235
-208287.75717094497,384.42065949888496,-208287.75717094497,-384.42065949888496
-205800.02639376084,410.7183125881219,-205800.02639376084,-410.7183125881219
-203360.79785772573,437.31076936253476,-203360.79785772573,-437.31076936253476
-200972.17680179744,464.139647834107,-200972.17680179744,-464.139647834107
-198635.88177627808,491.1514314759339,-198635.88177627808,-491.1514314759339
-196353.23614115256,518.297471114466,-196353.23614115256,-518.297471114466
-194125.17671882611,545.5338900230962,-194125.17671882611,-545.5338900230962
-191952.27416915225,572.8214165717534,-191952.27416915225,-572.8214165717534
-189834.76093719553,600.1251646659028,-189834.76093719553,-600.1251646659028
-187772.56362990348,627.4143786039256,-187772.56362990348,-627.4143786039256
-185765.33747202935,654.6621558474311,-185765.33747202935,-654.6621558474311
-183812.5011195018,681.845158493981,-183812.5011195018,-681.845158493981
-181913.2706030981,708.9433219281675,-181913.2706030981,-708.9433219281675
-180066.6915621458,735.9395671684651,-180066.6915621458,-735.9395671684651
-178271.66922729393,762.8195217874877,-178271.66922729393,-762.8195217874877
-176526.9958396965,789.5712529268465,-176526.9958396965,-789.5712529268465
-174831.3753649564,816.1850148200439,-174831.3753649564,-816.1850148200439
-173183.44548531593,842.6530123449471,-173183.44548531593,-842.6530123449471
-171581.79694237927,868.969181420484,-171581.79694237927,-868.969181420484
